"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"MARQUETTE MI",-87.39571381,46.54323196,32,8,9,15,21444
"MARS HILL NC",-82.54877472,35.82659912,1,1,0,0,2410
"MARS PA",-80.01100159,40.69602585,5,1,1,3,1276
"MARSHALL MI",-84.9631424,42.27227402,121,41,36,44,7038
"MARSHALL MN",-95.78921509,44.4466362,67,25,15,27,13608
"MARSHALL MO",-93.19745636,39.12294769,13,5,3,5,13048
"MARSHALL NC",-82.68395996,35.79773331,3,1,0,2,764
"MARSHALL TX",-94.36775208,32.5450592,9,2,3,4,23743
"MARSHALLTOWN IA",-92.90861511,42.04956055,116,20,32,64,27770
"MARSHFIELD MO",-92.90744781,37.33891678,6,2,2,2,6860
"MARSHFIELD WI",-90.17188263,44.66900635,4,0,2,2,18410
"MART TX",-96.83396149,31.5428257,1,0,1,0,2050
"MARTHASVILLE MO",-91.05782318,38.62841034,1,0,1,0,1273
"MARTIN GA",-83.1847229,34.48738861,3,0,2,1,458
"MARTIN TN",-88.85335541,36.34902573,16,7,5,4,11199
"MARTINEZ CA",-122.1364365,38.01914597,52,15,12,25,37300
"MARTINS FERRY OH",-80.72425842,40.09586716,13,3,3,7,6829
"MARTINSBURG WV",-77.96557617,39.45707703,14,2,5,7,17564
"MARTINSVILLE IN",-86.42851257,39.42800903,6,0,2,4,11739
"MARTINSVILLE VA",-79.87229156,36.69199371,21,7,4,10,13624
"MARVELL AR",-90.91059113,34.5550499,1,0,1,0,1056
"MARYLAND HEIGHTS MO",-90.43025208,38.71334076,62,24,16,22,27401
"MARYSVILLE CA",-121.5933762,39.14567947,17,7,6,4,12161
"MARYSVILLE MI",-82.48686218,42.91244888,3,2,1,0,9797
"MARYSVILLE OH",-83.36706543,40.2364006,8,4,1,3,22732
"MARYSVILLE PA",-76.92907715,40.34276199,2,0,0,2,2525
"MARYSVILLE WA",-122.179451,48.05155182,46,17,8,21,63760
"MARYVILLE IL",-89.95622253,38.72364044,3,0,2,1,7791
"MARYVILLE MO",-94.87281036,40.34609604,30,13,12,5,11997
"MARYVILLE TN",-83.96243286,35.76000977,61,13,12,36,27993
"MASCOUTAH IL",-89.79308319,38.49026489,17,4,6,7,7801
"MASON CITY IA",-93.20175934,43.15355301,25,5,9,11,27643
"MASON MI",-84.44378662,42.57910538,7,2,3,2,8317
"MASON OH",-84.30989075,39.36032104,112,31,27,54,31654
"MASON TN",-89.5331192,35.41201401,53,13,22,18,1384
"MASONTOWN PA",-79.89925385,39.84680176,6,2,1,3,3416
"MASONVILLE IA",-91.5915451,42.47937012,1,0,0,1,92
"MASSAPEQUA PARK NY",-73.45436859,40.68052292,1,0,0,1,17175
"MASSENA NY",-74.89122772,44.92828751,7,0,3,4,11086
"MASSILLON OH",-81.52096558,40.7966156,25,11,7,7,32215
"MATAWAN NJ",-74.22887421,40.41519547,3,1,2,0,8887
"MATFIELD GREEN KS",-96.56110382,38.15935516,4,2,0,2,50
"MATHIS TX",-97.82859802,28.09514809,1,0,0,1,4989
"MATTESON IL",-87.71334839,41.50400162,4,1,0,3,19159
"MATTHEWS NC",-80.72332001,35.11704254,10,5,3,2,29352
"MATTOON IL",-88.37306976,39.48309326,16,2,13,1,17646
"MAULDIN SC",-82.30957794,34.77907562,3,2,0,1,24396
"MAUMEE OH",-83.65665436,41.56746292,10,2,4,4,14083
"MAYETTA KS",-95.72317505,39.33889008,11,2,5,4,337
"MAYFIELD HEIGHTS OH",-81.45755005,41.51942062,3,1,1,1,18918
"MAYFIELD KY",-88.63654327,36.74169922,63,20,17,26,10101
"MAYFLOWER AR",-92.42785645,34.95717239,1,1,0,0,1975
"MAYSVILLE NC",-77.23084259,34.90504074,7,2,3,2,915
"MAYVILLE WI",-88.54499817,43.49409103,35,12,7,16,5060
"MAYWOOD CA",-118.1865921,33.98660278,1,0,1,0,27739
"MAYWOOD IL",-87.84314728,41.87941742,18,5,8,5,24138
"MCALESTER OK",-95.77042389,34.93368149,3,0,0,3,18324
"MCALLEN TX",-98.23077393,26.20433426,216,46,67,103,136993
"MCCOMB MS",-90.45623016,31.2437973,6,3,0,3,12723
"MCCORMICK SC",-82.29341125,33.91360855,3,0,1,2,2707
"MCDONOUGH GA",-84.1467514,33.44765472,47,18,14,15,22830
"MCFARLAND CA",-119.2310333,35.67798996,2,1,1,0,13028
"MCFARLAND WI",-89.28981781,43.01242828,2,0,2,0,8092
"MCGREGOR TX",-97.41001129,31.44441986,4,1,0,3,5042
"MCHENRY IL",-88.2740097,42.34480286,41,14,11,16,26739
"MCINTOSH FL",-82.22186279,29.44919586,1,0,1,0,357
"MCKENZIE TN",-88.51866913,36.13283157,1,0,0,1,5551
"MCKINNEY TX",-96.6155777,33.19782257,183,47,52,84,150064
"MCLEAN TX",-100.600174,35.23252487,1,0,0,1,942
"MCLEANSBORO IL",-88.53587341,38.09341049,6,0,1,5,2894
"MCMINNVILLE OR",-123.2019272,45.20968628,67,20,18,29,33185
"MCMINNVILLE TN",-85.77684784,35.68649673,1,1,0,0,13651
"MCPHERSON KS",-97.66510773,38.37078094,10,2,1,7,13212
"MEADVILLE MO",-93.3026123,39.78415298,1,0,1,0,415
"MEADVILLE PA",-80.15116119,41.64140701,17,5,3,9,13224
"MEBANE NC",-79.26649475,36.09629059,33,11,9,13,13309
"MECHANICSBURG IL",-89.39729309,39.80957794,1,0,1,0,560
"MECHANICSBURG OH",-83.55617523,40.07216644,1,0,1,0,1875
"MECHANICSBURG PA",-77.00779724,40.21432114,27,8,5,14,8984
"MECHANICSVILLE IA",-91.25505829,41.90429306,1,0,0,1,1082
"MECHANICVILLE NY",-73.68631744,42.90293121,2,1,0,1,5205
"MEDFORD LAKES NJ",-74.80196381,39.85878754,3,0,2,1,4124
"MEDFORD MA",-71.10526276,42.41849518,98,27,28,43,57136
"MEDFORD OR",-122.8773193,42.32625961,106,34,24,48,77579
"MEDIA PA",-75.38693237,39.91692734,17,5,3,9,5336
"MEDICAL LAKE WA",-117.682518,47.57226944,19,3,6,10,4924
"MEDINA OH",-81.86336517,41.13858795,99,23,23,53,26529
"MEDORA ND",-103.5243988,46.91657257,1,1,0,0,184
"MELBOURNE AR",-91.90882111,36.05977631,1,0,1,0,1797
"MELBOURNE FL",-80.60625458,28.07838249,146,42,53,51,78012
"MELISSA TX",-96.57331848,33.28625488,4,1,2,1,6214
"MELROSE MA",-71.07271576,42.45837784,27,6,12,9,27681
"MELROSE PARK IL",-87.85682678,41.90048218,5,1,1,3,25491
"MELVINDALE MI",-83.17527771,42.2828331,2,1,0,1,10510
"MEMPHIS TN",-90.01696014,35.1194191,5273,1466,1442,2365,657167
"MENA AR",-94.24035645,34.58638,85,22,37,26,5692
"MENASHA WI",-88.44643402,44.20197296,3,1,1,1,17546
"MENDOTA CA",-120.3840103,36.75325012,4,1,1,2,11402
"MENDOTA HEIGHTS MN",-93.12650299,44.88226318,7,1,5,1,11172
"MENLO PARK CA",-122.1842423,37.45361328,156,41,40,75,33064
"MENOMINEE MI",-87.61431885,45.10792542,3,1,1,1,8456
"MENOMONEE FALLS WI",-88.11719513,43.17907715,24,10,9,5,35884
"MENOMONIE WI",-91.92002106,44.87564468,2,1,0,1,16210
"MENTOR-ON-THE-LAKE OH",-81.36006927,41.70515442,2,1,0,1,7432
"MENTOR OH",-81.33918762,41.66637421,52,19,12,21,46952
"MERCED CA",-120.4848785,37.30197525,137,36,38,63,81120
"MERCEDES TX",-97.91394043,26.15032959,15,4,4,7,16425
"MERIDEN CT",-72.80596161,41.5384407,15,5,5,5,60439
"MERIDIAN ID",-116.3941193,43.611866,23,6,7,10,84018
"MERIDIAN MS",-88.70374298,32.36473846,37,3,13,21,40507
"MERRIAM KS",-94.69395447,39.02367401,8,4,1,3,11232
"MERRILL WI",-89.6834259,45.18042755,3,1,0,2,9419
"MERRILLVILLE IN",-87.33312988,41.48298645,18,2,6,10,35322
"MESA AZ",-111.8239059,33.42222214,731,197,197,337,458860
"MESQUITE NV",-114.0683136,36.80557251,8,2,3,3,16533
"MESQUITE TX",-96.59959412,32.76692581,213,61,64,88,143584
"METAMORA IL",-89.36064911,40.7908287,1,0,1,0,3454
"METCALFE MS",-91.00767517,33.45438385,1,1,0,0,1120
"METUCHEN NJ",-74.36269379,40.543293,8,3,1,4,13765
"MEXIA TX",-96.48291016,31.68026352,3,0,0,3,7453
"MEXICO BEACH FL",-85.41775513,29.94825554,2,0,2,0,1355
"MEXICO MO",-91.8833313,39.16965866,17,7,2,8,11588
"MIAMI BEACH FL",-80.12982178,25.79146576,567,165,141,261,91564
"MIAMI FL",-80.19329071,25.77483749,7597,1974,2088,3535,424632
"MIAMI OK",-94.87779999,36.87476349,10,3,3,4,13666
"MIAMI SHORES FL",-80.19244385,25.8637619,8,4,0,4,10784
"MIAMI SPRINGS FL",-80.28911591,25.82328033,1,0,0,1,14397
"MIAMISBURG OH",-84.28652191,39.643116,52,16,9,27,20119
"MICHIGAN CITY IN",-86.89486694,41.70751572,13,2,1,10,31412
"MIDDLEBURG HEIGHTS OH",-81.81239319,41.3615799,1,0,1,0,15790
"MIDDLEBURG VA",-77.73491669,38.96906662,3,0,1,2,689
"MIDDLEBURY IN",-85.71139526,41.67531967,12,7,2,3,3494
"MIDDLESEX NJ",-74.49213409,40.57284164,2,1,0,1,13831
"MIDDLETON WI",-89.50476074,43.09717941,10,0,3,7,18478
"MIDDLETOWN CT",-72.64955902,41.56232071,75,21,20,34,47218
"MIDDLETOWN DE",-75.71700287,39.44935226,39,14,12,13,19744
"MIDDLETOWN KY",-85.53855896,38.24543762,1,0,0,1,7788
"MIDDLETOWN NY",-74.4223938,41.44607544,15,3,5,7,27828
"MIDDLETOWN OH",-84.39844513,39.51361084,20,1,9,10,48563
"MIDDLEVILLE MI",-85.46193695,42.71302032,2,1,0,1,3304
"MIDLAND MI",-84.24700928,43.61585236,61,19,12,30,41995
"MIDLAND NC",-80.50031281,35.22761154,1,1,0,0,3243
"MIDLAND TX",-102.0793686,31.99754143,66,17,19,30,123820
"MIDLOTHIAN TX",-96.99511719,32.4827919,5,3,1,1,20679
"MIDVALE UT",-111.9078598,40.61109924,2,1,1,0,30844
"MIDWAY FL",-84.45413971,30.49596024,4,1,2,1,3234
"MIDWAY GA",-81.43025208,31.80617905,1,0,1,0,2040
"MIDWAY UT",-111.4762039,40.51210022,1,1,0,0,4261
"MIDWEST CITY OK",-97.39709473,35.44970703,23,3,9,11,56507
"MIFFLINBURG PA",-77.04728699,40.91789627,2,0,1,1,3530
"MIFFLINTOWN PA",-77.39626312,40.56981659,2,1,0,1,1084
"MILAN IL",-90.57264709,41.45294952,5,3,0,2,5137
"MILAN MI",-83.68206024,42.08535004,1,0,0,1,5929
"MILAN TN",-88.75936127,35.91966248,5,2,2,1,7817
"MILFORD DE",-75.42737579,38.9128685,17,5,3,9,9993
"MILFORD IA",-95.15058899,43.32461929,1,1,0,0,2971
"MILFORD MI",-83.59909821,42.59347534,7,0,4,3,6390
"MILFORD NY",-74.94455719,42.59064865,66,22,26,18,396
"MILFORD OH",-84.29400635,39.17559433,7,1,4,2,6767
"MILFORD PA",-74.80150604,41.3222847,2,0,0,2,1067
"MILL VALLEY CA",-122.5473328,37.90579224,75,21,27,27,14243
"MILLBRAE CA",-122.3894043,37.59856033,7,1,1,5,22416
"MILLBROOK AL",-86.36187744,32.48031998,7,0,5,2,14983
"MILLBROOK NY",-73.69306183,41.78520966,11,3,3,5,1542
"MILLEDGEVILLE GA",-83.23179626,33.08055878,30,10,7,13,18971
"MILLERSBURG PA",-76.96018982,40.53970718,3,0,1,2,2544
"MILLERSTOWN PA",-79.79847717,40.65014267,1,0,1,0,741
"MILLERSVILLE PA",-76.35368347,39.99788666,3,0,1,2,8358
"MILLINGTON TN",-89.89770508,35.34148788,1,0,0,1,11113
"MILLSBORO DE",-75.29344177,38.58910751,8,2,4,2,4050
"MILLSTADT IL",-90.09213257,38.46154404,4,0,3,1,3930
"MILLTOWN NJ",-74.44260406,40.45628738,7,4,2,1,6989
"MILLVILLE NJ",-75.03882599,39.40239716,10,4,2,4,28515
"MILPITAS CA",-121.9090805,37.42808533,12,5,4,3,71533
"MILTON DE",-75.31299591,38.77088547,6,3,1,2,2717
"MILTON FL",-87.03953552,30.63289833,16,6,2,8,9276
"MILTON PA",-76.84694672,41.0123024,3,1,1,1,6993
"MILTON WA",-122.3157044,47.2477684,1,0,1,0,7219
"MILTON WI",-88.9439621,42.77545547,12,4,4,4,5572
"MILTON WV",-82.12947845,38.43808746,2,0,1,1,2557
"MILWAUKEE WI",-87.90684509,43.03887939,3828,1078,1085,1665,599498
"MILWAUKIE OR",-122.6417084,45.44596481,22,6,7,9,20566
"MINDEN LA",-93.28716278,32.61589432,588,179,66,343,12887
"MINEOLA NY",-73.63988495,40.74962234,3,0,2,1,18980
"MINERAL CITY OH",-81.36077881,40.6011467,1,0,0,1,679
"MINERAL WELLS TX",-98.11335754,32.80846024,4,4,0,0,16159
"MINERSVILLE PA",-76.26126862,40.69085693,4,1,0,3,4310
"MINIER IL",-89.31304932,40.43381882,4,2,2,0,1346
"MINNEAPOLIS MN",-93.26397705,44.97980118,7365,2110,2061,3194,399950
"MINNEOLA FL",-81.74643707,28.57386589,6,2,1,3,10086
"MINNESOTA CITY MN",-91.74989319,44.09374237,2,1,0,1,217
"MINNETONKA MN",-93.43367004,44.92795181,29,10,6,13,51249
"MINNEWAUKAN ND",-99.25090027,48.06991959,1,0,1,0,226
"MINOT ND",-101.2953949,48.23139572,24,6,9,9,46194
"MINSTER OH",-84.3759613,40.39321518,1,0,0,1,2905
"MINT HILL NC",-80.64685059,35.17968369,7,1,3,3,24545
"MIRAMAR FL",-80.23181915,25.98794746,134,32,38,64,131384
"MISHAWAKA IN",-86.18048859,41.65872574,41,12,9,20,48121
"MISSION KS",-94.65638733,39.02796173,287,79,94,114,9481
"MISSION SD",-100.6579437,43.30659866,5,3,1,1,1211
"MISSION TX",-98.32580566,26.21655273,80,20,21,39,81573
"MISSION VIEJO CA",-117.6737366,33.59992218,34,10,13,11,95979
"MISSOULA MT",-113.9832687,46.87278366,329,90,100,139,69190
"MISSOURI CITY TX",-95.5381012,29.61878204,126,31,28,67,70538
"MITCHELL IN",-86.47343445,38.73275375,2,0,0,2,4291
"MITCHELL SD",-98.02590179,43.70991898,2,0,0,2,15543
"MOAB UT",-109.5508347,38.57315063,23,2,12,9,5175
"MOBERLY MO",-92.43862152,39.41818619,13,3,4,6,13879
"MOBILE AL",-88.04309845,30.69476128,587,170,127,290,194669
"MOBRIDGE SD",-100.4329529,45.53816223,2,0,1,1,3302
"MOCKSVILLE NC",-80.56092834,35.89443588,7,1,1,5,5090
"MODESTO CA",-120.9991455,37.63897324,442,113,126,203,207482
"MOKENA IL",-87.88947296,41.52630615,4,1,1,2,19369
"MOLINE IL",-90.51522064,41.5069809,36,10,12,14,43062
"MONAHANS TX",-102.8932419,31.59444237,4,1,1,2,7349
"MONCKS CORNER SC",-80.01290131,33.19626236,9,2,3,4,9108
"MONEE IL",-87.74182129,41.41996002,1,0,1,0,5114
"MONESSEN PA",-79.88707733,40.14862442,6,0,1,5,7584
"MONETT MO",-93.92830658,36.92906952,7,0,5,2,8957
"MONMOUTH IL",-90.64776611,40.91139221,3,1,1,1,9302
"MONMOUTH OR",-123.2363892,44.84816742,10,3,4,3,9869
"MONONA WI",-89.33418274,43.06205368,8,2,3,3,7835
"MONROE GA",-83.71302795,33.79499817,4,2,0,2,13476
"MONROE LA",-92.11960602,32.50980759,297,77,89,131,49529
"MONROE MI",-83.39758301,41.91663742,23,4,2,17,20335
"MONROE NC",-80.54924011,34.98587036,8,1,1,6,33951
"MONROE NY",-74.18616486,41.33085632,17,3,4,10,8532
"MONROE WA",-121.9735718,47.85487747,38,9,12,17,17734
"MONROEVILLE OH",-82.69579315,41.24438477,1,1,0,0,1382
"MONROEVILLE PA",-79.74937439,40.4387207,1,0,1,0,28346
"MONROVIA CA",-118.0006485,34.14796829,105,37,27,41,37164
"MONT BELVIEU TX",-94.89146423,29.84809875,1,0,1,0,4585
"MONTAGUE MI",-86.35713959,43.41694641,9,5,3,1,2408
"MONTEBELLO CA",-118.1069412,34.00930023,19,2,1,16,63530
"MONTEREY CA",-121.8974838,36.6002388,128,37,34,57,28283
"MONTEREY PARK CA",-118.1248398,34.06269836,14,3,8,3,61085
"MONTEREY TN",-85.26838684,36.14765167,1,0,1,0,2863
"MONTEVALLO AL",-86.86419678,33.10087967,11,4,4,3,6549
"MONTGOMERY AL",-86.29966736,32.36724472,699,183,192,324,202967
"MONTGOMERY IL",-88.34621429,41.73051071,2,0,2,0,19196
"MONTGOMERY TX",-95.69664001,30.38855171,18,5,3,10,750
"MONTICELLO AR",-91.79141235,33.62911987,1,0,1,0,9793
"MONTICELLO IL",-88.57354736,40.02787399,4,1,1,2,5493
"MONTICELLO IN",-86.76451874,40.74537659,2,0,2,0,5332
"MONTICELLO KY",-84.88193512,36.81594086,2,0,1,1,6141
"MONTICELLO MN",-93.79497528,45.30529785,1,0,1,0,13065
"MONTICELLO MS",-90.11628723,31.55413437,1,0,0,1,1559
"MONTICELLO NY",-74.68832397,41.65591812,1,0,1,0,6685
"MONTPELIER VT",-72.57458496,44.26039124,29,9,9,11,7712
"MONTROSE CO",-107.8707047,38.4788475,4,2,1,1,18970
"MONTROSE PA",-75.87622833,41.83430481,3,0,2,1,1716
"MOORE HAVEN FL",-81.09259796,26.83358002,1,1,0,0,2818
"MOORE OK",-97.48735046,35.33969498,201,49,61,91,58615
"MOOREFIELD WV",-78.96636963,39.06458664,2,2,0,0,2814
"MOORESBORO NC",-81.69874573,35.29899597,1,1,0,0,486
"MOORESVILLE IN",-86.37399292,39.61291504,6,1,1,4,9508
"MOORESVILLE NC",-80.80976868,35.58535004,61,19,21,21,34930
"MOORHEAD MN",-96.76844025,46.87382507,60,17,20,23,40935
"MOORPARK CA",-118.8839111,34.28554535,36,6,15,15,35339
"MORAGA CA",-122.1321945,37.83471298,3,1,1,1,16787
"MOREHEAD CITY NC",-76.72536469,34.72343445,5,2,1,2,9162
"MOREHEAD KY",-83.43223572,38.18409348,20,5,4,11,6938
"MORGAN CITY LA",-91.20729065,29.69994926,7,5,1,1,12019
"MORGAN HILL CA",-121.6563797,37.1303978,24,4,4,16,40872
"MORGANTON NC",-81.68434906,35.74584961,12,3,3,6,16748
"MORGANTOWN KY",-86.68365479,37.2256012,5,2,1,2,2681
"MORGANTOWN WV",-79.95038605,39.63131714,456,117,136,203,30164
"MORIARTY NM",-106.0516815,34.99026871,1,1,0,0,2227
"MORNINGSIDE MD",-76.89069366,38.8301239,1,0,0,1,1525
"MOROCCO IN",-87.45333862,40.94620895,1,0,0,1,1111
"MORRILL KS",-95.69260406,39.92824936,1,1,0,0,310
"MORRILTON AR",-92.74445343,35.15127182,2,2,0,0,6746
"MORRIS IL",-88.42147064,41.3571167,11,3,3,5,14402
"MORRIS MN",-95.91436005,45.58617401,48,13,9,26,5349
"MORRIS OK",-95.86071014,35.60788727,1,0,0,1,1511
"MORRIS PLAINS NJ",-74.47996521,40.82184601,1,0,0,1,5598
"MORRISON CO",-105.1927185,39.65348434,3,1,1,1,394
"MORRISON IL",-89.96530914,41.80975723,2,1,0,1,4225
"MORRISTOWN NJ",-74.48057556,40.79689789,55,17,19,19,18563
"MORRISTOWN NY",-75.647789,44.58650208,2,2,0,0,431
"MORRISTOWN TN",-83.29478455,36.21415329,10,1,3,6,29247
"MORRISVILLE NC",-78.82486725,35.82374954,36,9,12,15,21726
"MORRO BAY CA",-120.8519135,35.36568451,12,3,4,5,10471
"MORROW GA",-84.33943939,33.58339691,94,20,33,41,6982
"MORROW OH",-84.12705231,39.35469437,2,0,1,1,1581
"MORTON GROVE IL",-87.78246307,42.04076767,6,2,3,1,23472
"MORTON IL",-89.45970917,40.61309433,3,1,0,2,16534
"MORTON MS",-89.65461731,32.35386658,1,1,0,0,3456
"MORTON WA",-122.2775497,46.55794525,1,1,0,0,1296
"MORVEN NC",-80.00048065,34.86457825,1,0,1,0,510
"MOSCOW ID",-117.0021973,46.73223877,136,35,42,59,24688
"MOSCOW MILLS MO",-90.91833496,38.94809341,7,2,1,4,2550
"MOSES LAKE WA",-119.2802811,47.12987137,18,6,5,7,21579
"MOSS POINT MS",-88.53965759,30.40934944,4,0,2,2,13685
"MOULTON AL",-87.29332733,34.48143387,15,3,4,8,3386
"MOULTRIE GA",-83.78891754,31.18035507,19,5,4,10,14474
"MOUND MN",-93.66635132,44.93652725,8,2,2,4,9249
"MOUND VALLEY KS",-95.40553284,37.20561218,7,1,6,0,452
"MOUNDSVILLE WV",-80.74716949,39.92013931,281,81,58,142,8888
"MOUNDVILLE AL",-87.63011169,32.99803162,3,0,0,3,2183
"MOUNT AIRY MD",-77.15393066,39.37637711,1,0,1,0,9353
"MOUNT AIRY NC",-80.60665131,36.49975586,8,3,2,3,10391
"MOUNT CLEMENS MI",-82.87785339,42.59724808,25,5,9,11,16381
"MOUNT ETNA IN",-85.56215668,40.74266815,1,0,1,0,97
"MOUNT HOLLY NC",-81.0157547,35.29826736,16,2,7,7,13924
"MOUNT HOREB WI",-89.7384491,43.00873566,1,0,1,0,7349
"MOUNT JOY PA",-76.50283051,40.10977936,5,1,0,4,7891
"MOUNT JULIET TN",-86.51877594,36.19998932,8,2,3,3,28395
"MOUNT KISCO NY",-73.72622681,41.20458984,5,2,1,2,11060
"MOUNT MORRIS MI",-83.69506073,43.11864471,2,1,1,0,3003
"MOUNT MORRIS NY",-77.87361145,42.72562408,5,0,2,3,2505
"MOUNT OLIVE NC",-78.06575012,35.19697952,1,0,1,0,4756
"MOUNT PLEASANT MI",-84.76785278,43.59777832,31,11,7,13,26134
"MOUNT PLEASANT PA",-79.54049683,40.1492691,7,0,4,3,4428
"MOUNT PLEASANT SC",-79.86242676,32.79427719,43,12,12,19,74952
"MOUNT PLEASANT TX",-94.96855927,33.15682602,39,11,6,22,16007
"MOUNT POCONO PA",-75.36369324,41.12226868,5,2,2,1,3106
"MOUNT PROSPECT IL",-87.93763733,42.0663414,15,5,0,10,54710
"MOUNT RAINIER MD",-76.96430206,38.9414978,63,22,16,25,8329
"MOUNT VERNON GA",-82.59407806,32.17881012,1,0,0,1,2003
"MOUNT VERNON IA",-91.41739655,41.92199326,3,1,0,2,4523
"MOUNT VERNON IL",-88.90307617,38.31738663,20,7,2,11,15136
"MOUNT VERNON IN",-87.89586639,37.93523407,11,4,3,4,6610
"MOUNT VERNON MO",-93.81912231,37.10396194,2,0,0,2,4531
"MOUNT VERNON OH",-82.48577118,40.3935585,4,2,1,1,16882
"MOUNT VERNON TX",-95.22182465,33.18909454,5,2,1,2,2752
"MOUNT VERNON WA",-122.3365784,48.4208374,7,2,3,2,32957
"MOUNT WASHINGTON KY",-85.5454483,38.05005264,1,0,0,1,13736
"MOUNT ZION IL",-88.87430573,39.77131271,1,0,0,1,6118
"MOUNTAIN BROOK AL",-86.7520752,33.50109482,3,0,0,3,20518
"MOUNTAIN HOME AR",-92.38542175,36.33543015,20,6,7,7,12309
"MOUNTAIN HOME ID",-115.6928406,43.13270187,41,15,16,10,13804
"MOUNTAIN VIEW AR",-92.11795807,35.86831665,6,1,1,4,2817
"MOUNTAIN VIEW CA",-122.0861969,37.3859024,366,93,110,163,77973
"MOUNTLAKE TERRACE WA",-122.3119507,47.78780365,9,2,2,5,20521
"MOWEAQUA IL",-89.01890564,39.62461472,3,1,1,1,1776
"MUKILTEO WA",-122.3008041,47.94359589,4,2,1,1,20818
"MUKWONAGO WI",-88.33354187,42.86693192,4,0,3,1,7485
"MULBERRY FL",-81.97315979,27.89601898,3,0,2,1,3900
"MULDROW OK",-94.59899139,35.40637589,6,1,1,4,3331
"MULVANE KS",-97.24430847,37.47423935,1,0,0,1,5607
"MUNCIE IN",-85.38398743,40.18970871,295,70,94,131,70173
"MUNDELEIN IL",-88.00391388,42.26291275,14,2,1,11,31624
"MUNFORD TN",-89.81508636,35.44957352,3,0,1,2,6044
"MUNFORDVILLE KY",-85.89085388,37.27248383,7,0,5,2,1723
"MUNHALL PA",-79.89945984,40.39241409,8,2,5,1,11351
"MUNISING MI",-86.64807892,46.410923,6,2,2,2,2303
"MUNSTER IN",-87.51268768,41.56475449,9,3,2,4,23250
"MURFREESBORO TN",-86.39038086,35.84575653,361,97,97,167,117983
"MURPHY NC",-84.03442383,35.08757019,21,4,5,12,2095
"MURPHY TX",-96.61357117,33.01515198,9,3,2,4,19691
"MURPHYSBORO IL",-89.33552551,37.7644043,4,1,0,3,8055
"MURRAY KY",-88.31504059,36.61037827,117,37,27,53,18515
"MURRAY UT",-111.8896103,40.66687012,17,4,3,10,48460
"MURRIETA CA",-117.2157898,33.55398941,48,12,14,22,107507
"MURRYSVILLE PA",-79.69709015,40.4287529,1,0,1,0,20181
"MUSCATINE IA",-91.05540466,41.4216156,38,6,14,18,23888
"MUSCLE SHOALS AL",-87.6674881,34.74491882,11,3,2,6,13492
"MUSCODA WI",-90.44321442,43.18519592,1,1,0,0,1452
"MUSKOGEE OK",-95.36999512,35.74824142,197,37,59,101,38776
"MUSTANG OK",-97.72509766,35.38425446,3,1,0,2,19112
"MYRTLE BEACH SC",-78.88601685,33.69656372,130,36,38,56,29198
"MYRTLE CREEK OR",-123.2955856,43.0200119,2,0,1,1,3422
"MYRTLE MS",-89.11911011,34.55866241,1,0,1,0,493
"NACOGDOCHES TX",-94.6559906,31.60386467,46,12,17,17,33774
"NAGS HEAD NC",-75.62320709,35.95791245,1,0,1,0,2825
"NAHUNTA GA",-81.98110962,31.20463753,1,0,1,0,1095
"NAMPA ID",-116.5658188,43.54054642,103,30,25,48,86203
"NANTICOKE PA",-76.0042572,41.20532608,1,0,0,1,10356
"NAPA CA",-122.2872086,38.29692841,121,30,38,53,79113
"NAPAVINE WA",-122.911026,46.57439804,1,0,0,1,1748
"NAPERVILLE IL",-88.14768219,41.78578949,296,79,89,128,145058
"NAPLES FL",-81.79434204,26.14280128,212,50,56,106,20603
"NAPOLEON OH",-84.12521362,41.39214706,5,3,1,1,8851
"NAPOLEONVILLE LA",-91.02523041,29.9411068,1,0,0,1,653
"NAPPANEE IN",-86.00133514,41.44298935,5,2,1,2,6650
"NARBERTH PA",-75.25990295,40.00860596,4,2,0,2,4292
"NASHUA NH",-71.46669769,42.76576996,54,19,8,27,87110
"NASHVILLE GA",-83.24996185,31.20802689,4,0,2,2,4914
"NASHVILLE IL",-89.3805542,38.34370804,7,2,1,4,3265
"NASHVILLE IN",-86.25119781,39.20750046,4,2,0,2,1255
"NASHVILLE NC",-77.96518707,35.97506714,2,0,0,2,5459
"NASSAU BAY TX",-95.09243011,29.54221344,1,0,1,0,4085
"NATALIA TX",-98.86307526,29.19000626,8,1,2,5,1398
"NATCHEZ MS",-91.40363312,31.56089783,1,0,0,1,15474
"NATCHITOCHES LA",-93.08662415,31.76096535,54,6,12,36,18460
"NAUGATUCK CT",-73.04972076,41.4863205,70,34,17,19,31722
"NAUVOO IL",-91.3849411,40.55012131,2,1,0,1,1362
"NAVASOTA TX",-96.08838654,30.38853645,3,1,1,1,7281
"NAVASSA NC",-78.0069046,34.25564194,1,0,1,0,1887
"NAZARETH PA",-75.30902863,40.74064255,45,8,17,20,5701
"NEBRASKA CITY NE",-95.85987854,40.67683411,1,0,1,0,7301
"NECHE ND",-97.54907227,48.97986603,11,2,3,6,361
"NEDERLAND CO",-105.5114899,39.96115494,13,3,4,6,1531
"NEDERLAND TX",-93.99260712,29.97476387,21,6,3,12,17063
"NEEDLES CA",-114.6156082,34.84807587,15,1,2,12,4942
"NEEDVILLE TX",-95.83795166,29.39995766,1,0,0,1,3025
