"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts"
"APEX NC",-78.84952545,35.73279572,35,7,11,17
"APOLLO PA",-79.56620789,40.58155441,5,2,2,1
"APOPKA FL",-81.5089798,28.68117523,25,6,7,12
"APPLE VALLEY MN",-93.21794128,44.73189926,47,17,12,18
"APPLETON WI",-88.41551208,44.2618866,186,53,46,87
"APPOMATTOX VA",-78.82469177,37.35719299,2,1,0,1
"ARAB AL",-86.49552917,34.31829453,95,28,29,38
"ARANSAS PASS TX",-97.150383,27.91025734,2,2,0,0
"ARCADIA CA",-118.0368881,34.1397934,48,9,10,29
"ARCADIA FL",-81.85810089,27.21654701,6,1,1,4
"ARCADIA LA",-92.92064667,32.54955673,2,0,0,2
"ARCANUM OH",-84.55335236,39.9899826,4,0,0,4
"ARCATA CA",-124.08564,40.86624527,72,21,25,26
"ARCHBOLD OH",-84.30731201,41.52135849,1,0,1,0
"ARCHDALE NC",-79.97145844,35.91481018,4,2,2,0
"ARCHER FL",-82.51840973,29.53064919,6,4,0,2
"ARCOLA IL",-88.3065567,39.68466949,1,0,0,1
"ARDEN DE",-75.48575592,39.8094902,1,0,1,0
"ARDEN HILLS MN",-93.15720367,45.05033112,10,2,2,6
"ARDMORE OK",-97.14401245,34.17425156,34,14,8,12
"ARENZVILLE IL",-90.37351227,39.87685394,1,1,0,0
"ARGONNE WI",-88.87945557,45.65941238,1,0,1,0
"ARGYLE WI",-89.86712646,42.70111084,4,1,1,2
"ARKADELPHIA AR",-93.05423737,34.12095642,12,2,4,6
"ARKANSAS CITY KS",-97.03897858,37.06211472,12,2,4,6
"ARKPORT NY",-77.69580841,42.39464188,1,0,1,0
"ARLINGTON HEIGHTS IL",-87.98104858,42.08821106,224,61,66,97
"ARLINGTON MA",-71.15559387,42.41545486,88,30,12,46
"ARLINGTON NE",-96.35142517,41.45244598,1,0,0,1
"ARLINGTON TN",-89.66139984,35.29637527,20,6,7,7
"ARLINGTON TX",-97.10882568,32.73590469,1174,304,315,555
"ARLINGTON WA",-122.1277237,48.19829941,15,5,2,8
"ARNAUDVILLE LA",-91.93197632,30.39797974,2,0,0,2
"ARNOLD MO",-90.37690735,38.43906784,38,4,6,28
"ARROYO GRANDE CA",-120.5928879,35.11868668,21,2,8,11
"ARTESIA CA",-118.0846176,33.86582184,6,1,1,4
"ARTESIA NM",-104.4046478,32.84522247,2,2,0,0
"ARVADA CO",-105.0886612,39.8028183,30,12,7,11
"ARVIN CA",-118.8308792,35.20893478,2,1,1,0
"ASBURY PARK NJ",-74.01100159,40.22047806,82,21,21,40
"ASH GROVE MO",-93.58557892,37.31526566,3,1,1,1
"ASHBURN GA",-83.65306091,31.70657539,5,1,1,3
"ASHEBORO NC",-79.81291199,35.70822525,24,4,8,12
"ASHEVILLE NC",-82.55367279,35.60134888,1228,359,319,550
"ASHLAND AL",-85.83626556,33.27382278,21,8,10,3
"ASHLAND IL",-90.00800323,39.88794327,6,0,3,3
"ASHLAND KY",-82.63764954,38.47874069,80,24,28,28
"ASHLAND MA",-71.46256256,42.26143265,7,4,3,0
"ASHLAND MO",-92.25737762,38.77433395,29,4,4,21
"ASHLAND OH",-82.31797028,40.86874771,18,5,5,8
"ASHLAND OR",-122.7111359,42.19425583,367,104,109,154
"ASHLAND VA",-77.47959137,37.75937653,189,54,52,83
"ASHLAND WI",-90.88419342,46.59241104,33,14,10,9
"ASHLEY IN",-85.06525421,41.52718735,2,0,0,2
"ASHTABULA OH",-80.78971863,41.86506653,41,7,12,22
"ASHWAUBENON WI",-88.07009888,44.48205185,5,1,2,2
"ASKOV MN",-92.78282928,46.18641281,4,0,0,4
"ASPEN CO",-106.8185959,39.19105911,92,24,29,39
"ASPERMONT TX",-100.2279816,33.13380051,2,1,0,1
"ASTORIA OR",-123.8339157,46.18756866,47,10,17,20
"ATASCADERO CA",-120.6487961,35.47494888,12,1,6,5
"ATCHISON KS",-95.12229919,39.56309128,5,1,2,2
"ATHENS AL",-86.97190857,34.80292892,14,3,4,7
"ATHENS IL",-89.72410583,39.96085739,11,2,5,4
"ATHENS OH",-82.10113525,39.32934952,268,69,62,137
"ATHENS PA",-76.52072906,41.9661293,77,17,24,36
"ATHENS TN",-84.59921265,35.44878387,2,0,1,1
"ATHENS TX",-95.85599518,32.20513916,9,6,1,2
"ATHERTON CA",-122.2001801,37.46142578,1,1,0,0
"ATHOL MA",-72.22972107,42.59287643,1,1,0,0
"ATKINS AR",-92.93680573,35.24659729,1,0,0,1
"ATLANTA GA",-84.38757324,33.74927521,30613,8386,8428,13799
"ATLANTA IN",-86.02610016,40.21550751,4,1,2,1
"ATLANTA LA",-92.73879242,31.8054924,1,1,0,0
"ATLANTA TX",-94.16465759,33.11408615,1,0,0,1
"ATLANTIC BEACH FL",-81.39808655,30.33498573,26,7,4,15
"ATLANTIC CITY NJ",-74.42202759,39.36457062,226,69,62,95
"ATLANTIC HIGHLANDS NJ",-74.03326416,40.40827942,2,0,0,2
"ATOKA OK",-96.12915039,34.38588333,2,0,0,2
"ATOKA TN",-89.77851868,35.44120789,2,2,0,0
"ATTALLA AL",-86.08874512,34.02215958,1,0,0,1
"ATTICA IN",-87.24867249,40.29444122,3,1,1,1
"ATTLEBORO MA",-71.28439331,41.94469833,18,5,3,10
"ATWATER CA",-120.6140137,37.34663773,7,2,1,4
"AUBREY TX",-96.98683167,33.30471039,2,0,1,1
"AUBURN AL",-85.48087311,32.61021423,244,59,76,109
"AUBURN CA",-121.0794067,38.89623642,1374,399,356,619
"AUBURN GA",-83.82753754,34.01380157,2,0,0,2
"AUBURN IL",-89.74681854,39.59179688,5,1,3,1
"AUBURN MA",-71.84958649,42.18192291,3,1,1,1
"AUBURN ME",-70.23028564,44.09794235,17,3,5,9
"AUBURN MI",-84.06974792,43.60359955,3,1,1,1
"AUBURN NY",-76.56542969,42.93203735,20,4,4,12
"AUBURN WA",-122.2304688,47.30677795,84,23,27,34
"AUBURNDALE FL",-81.78826904,28.06580925,1,0,0,1
"AUDUBON NJ",-75.07247162,39.89139175,1,0,1,0
"AUGUSTA KS",-96.97721863,37.68652725,28,9,10,9
"AUGUSTA ME",-69.7781601,44.31053925,19,3,4,12
"AURORA CO",-104.8693161,39.73983765,466,138,133,195
"AURORA IL",-88.32048798,41.76070023,235,68,64,103
"AURORA NC",-76.78784943,35.30578995,2,1,1,0
"AURORA NY",-76.70005035,42.75400162,2,1,0,1
"AUSTELL GA",-84.63414001,33.81290054,79,22,14,43
"AUSTIN IN",-85.80773163,38.75847626,1,0,0,1
"AUSTIN MN",-92.97491455,43.6665535,16,5,8,3
"AUSTIN TX",-97.74386597,30.26748466,17442,4758,5078,7606
"AUSTINTOWN OH",-80.76424408,41.10162354,114,27,37,50
"AUXVASSE MO",-91.89766693,39.01833725,1,0,0,1
"AVA MO",-92.6605835,36.95189667,4,1,1,2
"AVALON CA",-118.329773,33.34281921,1,0,0,1
"AVENAL CA",-120.1306839,36.00422668,1,0,1,0
"AVIS PA",-77.31352997,41.1848526,19,5,6,8
"AVOCA NY",-77.42100525,42.40945435,3,0,2,1
"AVON CO",-106.5237427,39.63142395,4,2,0,2
"AVON LAKE OH",-82.02809906,41.50548935,9,4,3,2
"AVON OH",-82.0351944,41.45196533,1,0,0,1
"AVON PARK FL",-81.50580597,27.59641075,1,1,0,0
"AVONDALE AZ",-112.3513947,33.43592072,91,29,21,41
"AVONDALE PA",-75.78266907,39.82365036,1,0,1,0
"AVONMORE PA",-79.46125031,40.52923965,1,0,1,0
"AYER MA",-71.57945251,42.55764771,1,0,1,0
"AZLE TX",-97.54621887,32.89556885,43,6,15,22
"AZTEC NM",-107.9938355,36.82159805,2,1,1,0
"AZUSA CA",-117.9098816,34.13357544,40,11,11,18
"BABYLON NY",-73.3247757,40.696064,2,1,0,1
"BAINBRIDGE GA",-84.57505798,30.90430069,4,2,1,1
"BAKER LA",-91.16854858,30.58853531,1,1,0,0
"BAKERSFIELD CA",-119.0206375,35.37326813,554,135,154,265
"BAKERSVILLE NC",-82.15859985,36.01586914,2,1,1,0
"BALCH SPRINGS TX",-96.62306213,32.72889328,2,0,0,2
"BALDWIN CITY KS",-95.18656921,38.77522659,25,7,7,11
"BALDWIN IL",-89.84280396,38.1832962,2,1,1,0
"BALDWIN NY",-73.60838318,40.65660858,4,0,1,3
"BALDWIN PARK CA",-117.9624786,34.08519363,14,3,5,6
"BALDWINSVILLE NY",-76.33219147,43.15886307,5,3,0,2
"BALDWYN MS",-88.63553619,34.5099411,24,6,6,12
"BALLSTON SPA NY",-73.84790039,43.00103378,38,13,9,16
"BALLWIN MO",-90.54669189,38.5951004,291,95,69,127
"BALLY PA",-75.58628845,40.40263367,1,0,0,1
"BALTIMORE MD",-76.6115799,39.29075623,9323,2473,2720,4130
"BAMBERG SC",-81.03459167,33.2973938,1,0,0,1
"BANDERA TX",-99.07427216,29.72691536,2,0,0,2
"BANDON OR",-124.4105606,43.11890793,7,2,1,4
"BANGOR ME",-68.77653503,44.80109406,172,48,61,63
"BANGOR PA",-75.20609283,40.86587524,8,1,3,4
"BANKS OR",-123.1168671,45.61822128,1,0,0,1
"BANNING CA",-116.878746,33.92569351,14,3,2,9
"BAR HARBOR ME",-68.20309448,44.38752747,54,19,10,25
"BARABOO WI",-89.74446869,43.47089767,21,5,5,11
"BARBERTON OH",-81.60507965,41.0127182,2,2,0,0
"BARBOURVILLE KY",-83.88861084,36.86665726,8,3,2,3
"BARDSTOWN KY",-85.46318817,37.810512545,30,10,8,12
"BARGERSVILLE IN",-86.16780853,39.52098083,3,1,1,1
"BARLOW KY",-89.04716492,37.05197525,1,0,1,0
"BARNESVILLE GA",-84.15583038,33.05487442,7,3,1,3
"BARNWELL SC",-81.35834503,33.24495316,2,1,0,1
"BARRE MA",-72.09545898,42.40907288,1,0,1,0
"BARRE VT",-72.50119781,44.19706345,4,2,0,2
"BARRINGTON IL",-88.13623047,42.15398788,2,1,1,0
"BARROW AK",-156.7964325,71.29006195,2,0,2,0
"BARSTOW CA",-117.0245132,34.89870071,4,2,1,1
"BARTLESVILLE OK",-95.98135376,36.74737549,7,0,4,3
"BARTLETT IL",-88.18564606,41.9950676,20,3,9,8
"BARTLETT KS",-95.21155548,37.05488205,1,0,1,0
"BARTLETT TN",-89.87441254,35.20460892,27,9,7,11
"BARTONVILLE IL",-89.65235138,40.6502037,288,78,79,131
"BARTOW FL",-81.84252167,27.89712715,3,0,1,2
"BASALT CO",-107.0336685,39.36895752,2,1,0,1
"BASSFIELD MS",-89.73988342,31.49684715,2,0,2,0
"BASTROP LA",-91.91439819,32.77897644,6,2,1,3
"BASTROP TX",-97.31572723,30.11092758,33,9,12,12
"BATAVIA IA",-92.16798401,40.99414825,3,2,1,0
"BATAVIA NY",-78.18697357,42.99835587,27,7,8,12
"BATAVIA OH",-84.17655182,39.07704926,4,1,1,2
"BATESVILLE AR",-91.64100647,35.76984024,4,1,2,1
"BATESVILLE IN",-85.22227478,39.3000145,1,1,0,0
"BATESVILLE MS",-89.94464874,34.31167603,54,12,19,23
"BATH ME",-69.81929779,43.9107132,2,0,0,2
"BATON ROUGE LA",-91.15479279,30.45132256,1650,475,433,742
"BATTLE CREEK MI",-85.17985535,42.32100677,30,11,7,12
"BATTLE GROUND WA",-122.5356064,45.78078842,12,3,4,5
"BATTLE LAKE MN",-95.71406555,46.28032303,1,1,0,0
"BAXLEY GA",-82.34827423,31.77871323,2,0,2,0
"BAXTER SPRINGS KS",-94.73813629,37.02472305,20,6,2,12
"BAY CITY MI",-83.8886261,43.59466171,56,12,13,31
"BAY CITY TX",-95.9697113,28.98308754,2,0,1,1
"BAY HARBOR ISLANDS FL",-80.13056946,25.88832092,1,1,0,0
"BAY LAKE FL",-81.92185974,28.45840073,28,6,8,14
"BAY SPRINGS MS",-89.28733826,31.97930336,3,0,3,0
"BAY VILLAGE OH",-81.92155457,41.48464966,49,20,14,15
"BAYFIELD WI",-90.81848145,46.81044769,1,0,0,1
"BAYONNE NJ",-74.10975647,40.66794968,38,12,9,17
"BAYTOWN TX",-94.97782135,29.73608589,170,49,53,68
"BEACON NY",-73.9688797,41.50502014,88,22,32,34
"BEAR LAKE MI",-86.14846802,44.42086029,6,4,0,2
"BEARDSLEY MN",-96.71322632,45.55812454,1,0,1,0
"BEATRICE NE",-96.74773407,40.26797104,1,0,1,0
"BEAUFORT NC",-76.66288757,34.71848679,21,9,6,6
"BEAUFORT SC",-80.68718719,32.44019699,37,8,12,17
"BEAUMONT CA",-116.9783173,33.9292717,8,4,2,2
"BEAUMONT TX",-94.10238647,30.08622551,191,43,46,102
"BEAVER DAM KY",-86.87591553,37.40219879,2,0,2,0
"BEAVER DAM WI",-88.83752441,43.45764542,3,2,1,0
"BEAVER FALLS PA",-80.3188858,40.75218582,5,2,1,2
"BEAVER PA",-80.30450439,40.69532776,17,3,9,5
"BEAVER UT",-112.6483307,38.27668381,6,2,2,2
"BEAVERCREEK OH",-84.06332397,39.70913696,63,17,18,28
"BEAVERTON OR",-122.8055344,45.48670197,397,131,115,151
"BECKLEY WV",-81.18963623,37.77680588,12,5,3,4
"BEDFORD IN",-86.48697662,38.86146164,13,2,7,4
"BEDFORD MA",-71.27526855,42.49069214,7,2,2,3
"BEDFORD NY",-73.64318085,41.204319,34,13,9,12
"BEDFORD OH",-81.53594208,41.39339828,11,2,4,5
"BEDFORD PA",-78.50319672,40.01898575,16,6,3,7
"BEDFORD TX",-97.14364624,32.8442955,39,11,12,16
"BEDFORD VA",-79.52242279,37.33457184,7,1,4,2
"BEDMINSTER NJ",-74.64486694,40.68070602,4,0,2,2
"BEE CAVE TX",-97.94541931,30.30895233,1,0,0,1
"BEEBE AR",-91.87966156,35.07094574,4,0,2,2
"BEECH GROVE IN",-86.08973694,39.72201157,11,3,2,6
"BEECHER CITY IL",-88.78668976,39.18835068,3,0,1,2
"BEEVILLE TX",-97.7488327,28.40157127,7,1,2,4
"BEL AIR MD",-76.34788513,39.53611374,42,13,10,19
"BELCHERTOWN MA",-72.40000153,42.27737427,1,0,1,0
"BELDING MI",-85.22901917,43.09791946,3,1,1,1
"BELEN NM",-106.7750244,34.65850067,8,0,6,2
"BELL CA",-118.1889572,33.97753906,38,5,18,15
"BELL GARDENS CA",-118.1536942,33.96530914,2,0,0,2
"BELLAIRE MI",-85.21157837,44.98040009,1,0,0,1
"BELLAIRE OH",-80.74460602,40.02676773,1,1,0,0
"BELLAIRE TX",-95.4592514,29.70632935,4,3,0,1
"BELLE GLADE FL",-80.66747284,26.68785477,9,3,1,5
"BELLE MO",-91.72072601,38.28581619,1,1,0,0
"BELLEAIR BEACH FL",-82.84260559,27.9237709,4,0,4,0
"BELLEFONTAINE OH",-83.75959015,40.36141205,5,1,2,2
"BELLEFONTE PA",-77.77765656,40.91333389,27,7,7,13
"BELLEVIEW FL",-82.06185913,29.05568314,9,0,6,3
"BELLEVILLE IL",-89.98438263,38.52002716,661,198,168,295
"BELLEVILLE MI",-83.48514557,42.20495987,17,6,4,7
"BELLEVILLE NJ",-74.14912415,40.79369736,5,1,3,1
"BELLEVUE IA",-90.42323303,42.25885773,1,1,0,0
"BELLEVUE KY",-84.47879791,39.10644531,9,4,2,3
"BELLEVUE NE",-95.89156342,41.13648224,35,10,9,16
"BELLEVUE OH",-82.84135437,41.27357483,2,0,2,0
"BELLEVUE PA",-80.05105591,40.49424362,6,0,1,5
"BELLEVUE WA",-122.2029648,47.61014557,281,91,82,108
"BELLFLOWER CA",-118.1186295,33.88169479,40,5,10,25
"BELLINGHAM WA",-122.4727402,48.76121521,566,171,145,250
"BELLMAWR NJ",-75.09385681,39.86771774,39,6,8,25
"BELLPORT NY",-72.93808746,40.75737,24,6,9,9
"BELLVILLE TX",-96.25782776,29.95071411,2,0,1,1
"BELLWOOD IL",-87.88317108,41.88128662,1,1,0,0
"BELMAR NJ",-74.02155304,40.17336273,5,1,2,2
"BELMONT CA",-122.2783508,37.51996613,78,34,14,30
"BELMONT MA",-71.1774292,42.39597321,4,1,1,2
"BELMONT MS",-88.20941162,34.51007462,5,0,3,2
"BELMONT NC",-81.0369873,35.24316406,15,4,4,7
"BELOIT WI",-89.03194427,42.50856781,14,3,4,7
"BELTON MO",-94.53222656,38.81176376,20,7,5,8
"BELTON TX",-97.46511841,31.05611229,47,12,16,19
"BELVIDERE IL",-88.84451294,42.26396942,8,2,4,2
"BEMENT IL",-88.57191467,39.92221832,1,1,0,0
"BEMIDJI MN",-94.88105774,47.47352982,52,16,17,19
"BENBROOK TX",-97.46098328,32.67370987,6,2,2,2
"BEND OR",-121.3171387,44.0577774,475,124,109,242
"BENICIA CA",-122.1603012,38.04900742,41,11,12,18
"BENLD IL",-89.80440521,39.09303665,1,0,0,1
"BENNETT CO",-104.4285889,39.75864792,4,0,1,3
"BENNETTSVILLE SC",-79.68428802,34.61242676,1,0,0,1
"BENNINGTON VT",-73.19591522,42.87845612,2,0,1,1
"BENSENVILLE IL",-87.94012451,41.95510483,19,3,10,6
"BENSON NC",-78.54795074,35.38231659,3,1,2,0
"BENTON AR",-92.58699036,34.56454468,5,0,2,3
"BENTON HARBOR MI",-86.45429993,42.11692429,28,8,7,13
"BENTON KY",-88.35020447,36.85724258,1,0,0,1
"BENTON LA",-93.74242401,32.69527817,3,0,1,2
"BENTONVILLE AR",-94.20933533,36.3728447,106,28,32,46
"BEREA KY",-84.29612732,37.5687027,10,5,4,1
"BEREA OH",-81.85396576,41.36633301,41,15,13,13
"BERGENFIELD NJ",-73.99640656,40.92791748,8,0,3,5
"BERKELEY CA",-122.2752533,37.87145615,2833,803,785,1245
"BERKELEY HEIGHTS NJ",-74.44181824,40.68349838,8,1,4,3
"BERKELEY MO",-90.33169556,38.75470734,28,10,7,11
"BERKLEY MI",-83.18341827,42.50307083,17,0,7,10
"BERLIN MD",-75.21686554,38.32276917,3,1,1,1
"BERLIN NJ",-74.9280014,39.79132462,2,1,0,1
"BERNALILLO NM",-106.5516357,35.30175781,8,3,4,1
"BERRIEN SPRINGS MI",-86.33900452,41.94654846,50,19,10,21
"BERRYVILLE VA",-77.9814682,39.15181732,3,1,1,1
"BERTHOUD CO",-105.0858917,40.30111313,2,1,1,0
"BERWICK LA",-91.22148895,29.69494629,1,0,0,1
"BERWICK ME",-70.86322784,43.26593399,1,1,0,0
"BERWICK PA",-76.23230743,41.05486679,15,6,2,7
"BERWYN IL",-87.79390717,41.85061646,24,9,6,9
"BESSEMER AL",-86.95465851,33.40222549,37,7,8,22
"BESSEMER CITY NC",-81.28375244,35.28520966,4,0,1,3
"BETHALTO IL",-90.04077911,38.90911865,13,4,4,5
"BETHEL OH",-84.08042908,38.96363068,1,0,0,1
"BETHEL PARK PA",-80.01592255,40.33843613,13,2,4,7
"BETHLEHEM PA",-75.36949921,40.62598801,204,60,43,101
"BETTENDORF IA",-90.51612854,41.52465439,31,9,10,12
"BEVERLY HILLS CA",-118.4019775,34.07383347,474,146,118,210
"BEVERLY HILLS MI",-83.22288513,42.52407837,3,1,1,1
